source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff,logg,mh,vbroad,alpha,original_ext_source_id,angular_distance
3969075210623123712,165.19023358409956,14.958617158260397,11.815489,11.072007,1565.4094,1963.4657,0.12384774,0.74348164,6031.7744,4.1128,-0.2096,,-0.1,1237664132630511632,0.121977136
3972661512611131904,174.85649265242063,16.477416405151075,12.624531,11.655625,1684.7938,1650.5903,0.06033296,0.96890545,5251.3115,4.0756,0.1884,,-0.23,1237668494707654671,0.103416234
3983028601590781952,163.96888752487166,17.999480422333168,11.272516,10.61566,1715.3054,2031.7277,0.13960809,0.65685654,6198.926,4.2697,-0.3956,,0.22,1237668292833902627,0.06882912
3999244370876485504,180.61084864217239,20.122951284935944,10.017692,9.189956,813.01025,1240.1436,0.0863144,0.8277359,5633.6226,4.4586,-0.1531,6.945133,0.15,1237668298202284080,0.4598326
6303170312847789312,212.61002823273014,-13.162391842083704,10.911744,9.989101,1633.5739,3232.264,0.072204396,0.9226427,5487.7905,4.3878,-0.1772,,0.04,1237671958063022160,0.3714294
4329387511804920192,242.44450511301395,-14.815682268924967,13.831481,12.22419,1495.7428,2712.5708,0.06374362,1.6072912,4589.109,2.5691,-0.1002,5.479915,-0.1,1237668629454979254,0.101465985
6253970947079903872,235.3258541677453,-19.847354356373845,11.5289,9.875164,851.2692,1328.317,0.100220665,1.6537361,3991.1807,1.1142,-0.6081,7.379766,0.14,1237668629988114822,0.20767196
4336479224365710848,255.5458437167515,-9.132560867746419,13.435727,12.005666,1938.5363,2812.6602,0.057173915,1.4300613,7165.7134,4.2206,-0.2657,,0.08,1237668651470356503,0.104143605
4371255707702693504,266.67025847681333,-0.6232716619809298,13.252119,11.104724,1553.6531,2859.1992,0.08576288,2.1473951,4325.259,1.9668,0.0528,6.3625717,0.02,1237659088718200924,0.22062941
4380474395444863232,257.93801947690923,-0.34574128885779093,11.477612,10.498545,2241.8801,3809.045,0.084044136,0.97906685,6323.69,4.2547,-0.5049,12.613647,0.2,1237668634285113490,0.07681092
1199012791525062912,243.61878796968844,17.860156037187803,12.997101,12.131787,2552.8313,2828.873,0.24549986,0.86531353,5791.4697,4.1242,-0.2947,9.258392,-0.03,1237665535469617248,0.019345965
1215923456455400192,230.16667878503347,24.029992199830087,11.591937,10.654411,917.6107,1228.067,0.14312439,0.93752575,5509.655,4.504,-0.1216,8.025336,0.14,1237665536000327754,0.057212602
1263436343187617792,228.94326191653295,23.06772205885714,11.850282,10.748127,1533.4197,2138.7996,0.24333134,1.1021547,5048.3096,4.4769,-0.1219,6.2846994,0.01,1237665442603139124,0.073064476
1270606666534105344,232.13265088632048,26.3766575373258,12.52562,11.356449,2735.554,3323.4688,0.13444833,1.1691713,5150.86,3.6359,0.05,9.6605835,-0.02,1237662695960936531,0.0106544355
1272398531187095168,233.28487062334068,28.430624361399378,12.70394,11.976056,2371.1455,3200.3252,0.065357514,0.7278843,5915.218,4.0204,-0.652,,-0.01,1237664854724902977,0.01870081
1306172813972944000,252.7965140312261,25.594126469419752,13.057919,12.257903,2385.7092,3618.021,0.07017157,0.80001545,5670.5464,4.4299,-0.6861,,0.34,1237662301377528001,0.07357452
1330581349337142400,244.47858225333954,37.164445646879976,12.210629,11.094261,1804.9756,2613.0422,0.28669032,1.1163683,5037.8003,3.3617,-0.1703,,0.05,1237661386006069377,0.0150258755
1331654889299164416,249.46185378974346,39.238160770444765,12.093429,11.201346,1802.4374,3012.2449,0.09164573,0.8920822,5731.4443,3.5831,-0.2212,17.611736,0.13,1237655472895099024,0.041530397
1340007703041204736,259.99964399817384,37.14496203993188,12.672112,11.686897,1779.7554,2654.6172,4.331568,0.9852152,5510.8496,3.7063,-0.169,15.183325,-0.06,1237665571447373915,0.07376943
1344787456181673344,267.39292464205226,40.788853826055785,11.994432,11.125062,1906.4314,3338.51,0.08726249,0.86937046,5547.5415,4.3351,0.1151,11.497144,0.02,1237656528927391851,0.020189984
1346688099469178368,261.4807642387238,39.69024224674472,12.811211,12.132262,1664.7583,2309.7979,0.06488429,0.6789484,6223.5825,3.9421,-0.3264,,0.28,1237668355111321724,0.056579683
1357441117029948160,251.7043548242763,43.11922221711969,8.9096,7.573047,2153.233,3457.7861,0.12827735,1.3365531,4596.734,2.5483,0.2766,7.472089,-0.06,1237654953205104778,0.16304027
1373170657361295488,239.10089982985377,37.00804963927582,12.849198,12.042486,1438.6361,3618.7634,0.7480568,0.80671215,5649.7896,4.4807,-0.6225,8.295052,0.03,1237662499469197352,0.1470763
